Date,Time,MST Time(s),Distance(V),Load cell (g),Temp.MST(C),Temp. Motor(C),Time Preset
27/05/1964,16:28:22,5.7,0,1,28,30,3599
27/05/1964,16:28:23,6.4,0,2,28,30,3597
27/05/1964,16:28:24,20.3,0,4,28,30.1,3596
27/05/1964,16:28:25,24.6,0,5,28,30.1,3595
27/05/1964,16:28:26,24.8,0,6,28,30.1,3594
27/05/1964,16:28:27,24.9,0,7,28.1,30.2,3593
27/05/1964,16:28:28,26.2,0,8,28.1,30.3,3592
27/05/1964,16:28:29,28.1,0,9,28.2,30.3,3591
27/05/1964,16:28:30,28.2,0,10,28.2,30.3,3590
27/05/1964,16:28:31,28.5,0,11,28.2,30.4,3589
27/05/1964,16:28:32,28.7,0,12,28.2,30.4,3588
27/05/1964,16:28:33,28.9,0,13,28.1,30.4,3587
27/05/1964,16:28:34,29.3,0,14,28.1,30.3,3586
27/05/1964,16:28:35,30,0,15,28.1,30.3,3585
27/05/1964,16:28:36,30.8,0,16,28.1,30.3,3584
27/05/1964,16:28:37,31.4,0,17,28.1,30.3,3583
27/05/1964,16:28:38,31.5,0,18,28.1,30.4,3582
27/05/1964,16:28:39,31.6,0,19,28.1,30.3,3581
27/05/1964,16:28:40,31.7,0,20,28.1,30.4,3580
27/05/1964,16:28:41,31.9,0,21,28.1,30.5,3579
27/05/1964,16:28:42,32.1,0,22,28.1,30.3,3578
27/05/1964,16:28:43,32.3,0,23,28.1,30.3,3577
27/05/1964,16:28:44,32.5,0,24,28.1,30.1,3576
27/05/1964,16:28:45,32.8,0,25,28,30.1,3575
27/05/1964,16:28:46,33.2,0,26,28,29.9,3574
27/05/1964,16:28:47,33.5,0,27,28,29.9,3573
27/05/1964,16:28:48,33.7,0,28,27.9,29.7,3572
27/05/1964,16:28:49,34,0,29,27.9,29.6,3571
27/05/1964,16:28:50,34.3,0,30,27.9,29.4,3570
27/05/1964,16:28:51,34.5,0,31,27.7,29.3,3569
27/05/1964,16:28:52,34.5,0,32,27.7,29.3,3568
27/05/1964,16:28:53,34.6,0,33,27.7,29.1,3567
27/05/1964,16:28:54,34.7,0,34,27.6,29.1,3566
27/05/1964,16:28:55,34.9,0,35,27.6,28.9,3565
27/05/1964,16:28:56,35.1,0,36,27.6,28.9,3564
27/05/1964,16:28:57,35.3,0,37,27.6,28.9,3563
27/05/1964,16:28:58,35.3,0,38,27.4,28.7,3562
27/05/1964,16:28:59,35.4,0,39,27.4,28.6,3561
27/05/1964,16:29:00,35.6,0,40,27.4,28.6,3560
27/05/1964,16:29:01,35.8,0,41,27.1,28.3,3559
27/05/1964,16:29:02,36,0,42,27,28.3,3558
27/05/1964,16:29:03,36.1,0,43,27.1,28.3,3557
27/05/1964,16:29:04,36.3,0,44,27.2,28.5,3556
27/05/1964,16:29:05,36.3,0,45,27.2,28.6,3555
27/05/1964,16:29:06,36.3,0,46,27.2,28.6,3554
27/05/1964,16:29:07,36.4,0,47,27.2,28.6,3553
27/05/1964,16:29:08,36.4,0,48,27.2,28.6,3552
27/05/1964,16:29:09,36.4,0,49,27.2,28.8,3551
27/05/1964,16:29:10,36.5,0,50,27.3,28.8,3550
27/05/1964,16:29:11,36.6,0,51,27.5,29.1,3549
27/05/1964,16:29:12,36.6,0,52,27.6,29.2,3548
27/05/1964,16:29:13,36.6,0,53,27.8,29.3,3547
27/05/1964,16:29:14,36.7,0,54,27.9,29.4,3546
27/05/1964,16:29:15,36.7,0,55,27.9,29.4,3545
27/05/1964,16:29:16,36.7,0,56,27.9,29.5,3544
27/05/1964,16:29:17,36.7,0,57,27.8,29.6,3543
27/05/1964,16:29:18,36.8,0,58,27.9,29.5,3542
27/05/1964,16:29:19,36.7,0,59,27.8,29.5,3541
27/05/1964,16:29:20,36.2,0,60,27.8,29.5,3540
